Latitude,Longitude
-86.66825061,34.7110137
-77.78766203,39.13880689
-106.6169787,35.08541973
-111.7454389,40.0307024
-73.4490423,40.7386802
151.3178395,-33.50918975
-74.41627854,41.43282885
-77.00037057,38.89789279
-80.32747327,25.6788938
-87.89945802,43.06023732
-95.37035611,29.60833895
-71.12624406,42.38023752
-77.78766203,39.13880689
-82.55698278,28.02303174
-87.5428628,33.1940449
-82.43243492,38.4192646
-72.44757519,41.85565468
-70.5668887,-33.411699
-78.73535782,42.77337072
-72.8908441,41.41794625
-81.54761215,41.45735594
-96.73987079,33.17772433
-86.87930603,36.49628758
-117.07356944,32.77135089
-81.59353673,41.41172795
-117.76940696,34.09819776
-87.64158234,41.88181007
-73.8541697,40.8057168
-117.6413384,34.1012035
-114.21495098,51.01586688
-77.03547676,38.91195217
-122.32359779,47.64030235
-78.6775873,35.7796249
-117.04683898,33.00316817
-78.4037283,35.67300025
-74.02435297,40.89749032
-115.1837486,36.10403001
-79.96657066,39.64805865
-122.61642827,45.38248159
-79.14509977,40.62542151
-86.79745274,36.11443251
-117.2440363,32.9019125
-78.459343,37.2465604
-98.48699646,29.42989111
-84.21566195,33.80672981
-122.2657221,37.8490695
-81.33793575,41.14949306
-93.58161289,41.71334039
-122.48697694,37.75391285
-73.23519214,40.86376593
-118.6106638,34.1985784
-83.0702451,39.84633439
-88.08555529,42.13186495
-93.58159731,41.71328612
-71.40932192,44.89740539
-118.2823412,34.0216765
-71.01266284,42.23904351
-82.68934132,34.55395495
-81.6319984,38.3474889
-81.17094421,34.13158417
-81.5921404,41.44016125
-75.53382964,40.22670165
-111.84549685,33.57142509
-96.7148819,32.99161148
-77.61510791,37.62006807
-73.90535183,40.88081142
-75.1724607,39.9521198
-89.44289032,40.6013183
-72.4475175,41.8557227
-74.13766542,40.86250312
-79.87221949,36.03488183
-73.92061,40.8281707
-92.15154144,30.19585049
-73.93628541,40.79548797
-97.4191934,37.74386308
-76.4589306,41.0022859
-96.48883347,32.84843225
-117.19990728,33.56982324
-119.0314129,35.2914769
-119.2586136,34.2710445
6.7686087,51.1964201
-81.67716059,36.78046253
-76.67691445,39.18484189
-77.42072294,38.80900298
-73.9841204,40.85257188
-84.67841408,39.20005593
-84.98418775,32.57006084
-77.7957452,38.53071167
-149.5325697,61.31350498
-88.02086608,42.28675961
-84.36501952,33.72833458
-80.55106547,37.13540815
-116.2034882,43.6039313
-96.85329616,32.9989821
-86.45651959,36.98394503
-115.25879449,36.2724984
-112.27049443,33.50971829
-76.9813771,38.8705361
-84.88749638,43.56429507
-84.40926849,33.68247183
-81.78020749,37.78988362
-86.27123331,41.70419351
-97.76674742,30.24865026
-79.80406353,35.75780122
-81.5221068,41.0725434
-118.44483089,34.29695075
-80.04889219,40.49554337
-95.4464293,29.0240724
-91.0950699,43.0496306
-117.34323269,33.29192006
-87.66483812,41.96583371
-83.15419655,39.96404947
-76.34599457,39.54691574
-74.14598269,40.89972711
-98.53807907,29.3371162
-119.61024801,36.73582979
-92.3800293,40.9848344
-91.6304339,37.99472446
-77.0583033,38.83205214
-93.58147837,41.71330351
-77.20025182,39.16101663
-92.34361831,38.89622517
-86.7535266,33.1350932
-91.25025627,30.28115222
-83.2012841,35.9558768
-76.28617227,36.71734053
-92.36686782,30.69344262
-73.93656555,41.71947813
-92.2748916,30.66682345
-87.66483957,41.96583628
-119.19275983,34.28199185
-90.70392447,38.72109201
-80.6901372,32.4465971
-121.7791251,38.0040254
-98.22813267,32.2149054
-97.94884984,29.85087669
-82.11053892,33.45279272
-104.71290867,40.3830623
-118.35281178,34.09684697
-86.57121467,33.3222683
-122.4111355,37.73705373
-74.3152171,40.5260193
-74.1560614,40.9328436
-95.2664164,32.3015254
-90.70380248,38.72101177
-77.25610586,38.67018965
-87.72503294,41.73970973
-123.06225311,44.04638342
-98.53801738,29.33718593
-93.96055344,30.142666
-120.0799275,36.9516086
-87.97033424,43.11109846
-90.70395197,38.72112813
-73.98390294,40.85285196
-84.05799508,38.92075546
-87.28852419,36.55188991
-123.06224724,44.04639109
-76.13192101,43.03470195
-95.99352391,36.1434552
-122.29074989,37.7793195
-77.25610614,38.67019285
-93.00023912,43.66473071
-81.48297409,28.7044196
-92.37936992,34.76941397
-118.20024675,34.02557717
-73.88584807,40.85973139
-114.117875,50.899642
-99.49147312,27.54455071
-99.86597702,28.52894393
-77.41854098,37.69335586
-89.81395538,35.03930688
-77.05826364,38.83201168
-75.4567936,43.83503364
-77.25610614,38.67018924
-75.1606567,39.98169213
-117.45724395,33.9749124
-123.19061993,44.09067748
-101.73786356,34.2116702
-98.6722099,29.4909161
-118.20478522,34.05009717
-96.60101286,32.79635127
-96.34658307,30.6166006
-97.12859558,33.19033249
-84.22198718,35.75635316
-80.2015372,26.0153572
-121.22750547,38.53364484
-95.15750004,29.67874373
-86.57122773,33.32224581
-75.00985806,39.84211119
-122.61682796,45.38227409
-80.85094403,27.22918906
-96.28658507,30.57278869
-76.337239,39.53987799
-111.06307881,32.38847405
-82.54947335,28.74435971
-83.2599809,33.07752469
-74.36244601,39.41596303
-123.06222377,44.04639549
-122.42968466,37.73539307
-95.47155149,30.13942053
-71.91982796,42.06400416
-122.27601817,37.52011742
39.25639426,-6.77817692
-78.901403,35.73916226
-99.4445658,27.59150452
-111.54783038,35.30818318
