Latitude,Longitude
-81.37888242,41.15853141
-81.75519475,32.40111459
-96.69397001,40.87823579
-90.10953977,29.93191075
-77.04917498,38.90013044
-77.11315594,38.84476143
-84.46529207,42.72625063
-86.66825061,34.7110137
-97.3043575,37.68796
-121.80659734,37.95779568
-70.85065773,42.68948261
-86.72006129,36.04717485
-117.32268707,33.14358491
-71.91473197,41.91510688
-119.71100795,36.31407616
-83.0748128,40.2962589
-75.32937867,40.0345146
-76.95878275,38.86210044
-94.31251937,39.87892455
-84.32260909,33.79510295
-97.66428095,31.05307972
-115.23541047,36.25436274
-77.14029967,38.99517527
-87.54861762,33.21590274
-71.40136145,41.82488682
26.2313658,-29.13950697
-74.70891592,40.8587386
-118.30835455,33.7515376
-77.08081689,38.92014628
-122.20360313,37.79750607
-74.06148699,40.09041492
-122.32189045,47.62401759
-90.10934369,29.9322428
-79.95079321,39.65006632
-73.98312968,40.74186307
-87.39548879,41.47180877
-93.10001273,34.44692986
-75.58748531,38.70077494
-97.74435325,30.29370325
-80.8340847,40.9558785
-73.95161198,40.6933846
-81.5622436,41.07878292
-77.03875749,38.91682889
-85.96226074,31.79885882
-77.00770419,38.91614814
-75.1554821,39.9849484
-83.97518313,43.52152021
-84.38733594,34.00178652
-97.26376509,37.76073823
-111.64544963,40.10822127
-102.3280679,21.93295977
-73.5358362,40.72094251
-97.70889399,31.05534235
-95.17734771,29.71096338
-82.70906,40.746799
-96.62940223,33.09957159
-98.06147408,27.67496539
-97.71914569,31.08431145
-76.5379166,39.93649768
-75.18968599,39.9552789
-77.03006381,38.9274264
-81.0290491,34.9333663
-85.50411584,32.57577608
-71.147867,42.22658842
-82.41269815,28.0816273
-72.92779272,41.53623287
-71.13385418,42.3602949
-73.74979285,42.72166679
-77.08733211,38.92891655
-97.08802612,31.64124033
-83.97518313,43.52152021
-73.99531665,40.74664341
-111.58556329,33.33025017
-96.6584745,33.0985505
-110.94560591,32.23673206
-83.28904088,30.84679793
-73.4490423,40.7386802
-98.57868663,29.52997779
-76.42046363,38.34485499
-81.5209592,30.18375078
-74.00590299,40.70871729
